Textual data for sarcasm detection,Your Predicted label
protests continue for stephon clark on martin luther king jr.'s death anniversary,0.0
why i launched a platform to empower survivors of bullying,0.0
chance the rapper unboxing his grammys with his daughter is too cute for words,0.0
"guys, someone edited chris farley into the 'mission: impossible' trailer",0.0
u.s. fish and wildlife officials release photos of missing perch,0.0
hope in students' eyes too much for screenwriting teacher to handle this week,0.0
north korea fires short-range missile along its coast,0.0
saudis snub obama on riyadh arrival amid growing tensions,0.0
disastrous ad campaign appeals to basic human intelligence,0.0
the definitive list of men you'll find at whole foods,0.0
cozy little out-of-the-way place opens 12th location,0.0
protesters clash with police during march to remember alton sterling,0.0
"for-profit company threatened to jail people for not paying traffic fines, lawsuit says",0.0
"here's the poop on antarctica's secret penguin society, population 1.5 million",0.0
starring in hollywood blockbusters los angeles man's only claim to fame,0.0
kelly clarkson reacts like any mom to news she's getting a vacation,0.0
kathy griffin drops f-bomb while taking back her apology to trump,0.0
top gop strategist who bashed donald trump will now try to get him elected,0.0
black lives matter protest moves from mall of america to airport,0.0
trump sits down beside fire with quill and ink for evening writing out tweets,0.0
comic liz miele's animated series 'damaged' celebrates first season,0.0
entire treasury department competing for same goldman sachs job opening,0.0
penny not so lucky for tortured soul of lincoln trapped inside,0.0
the bible could become tennessee's official state book,0.0
substitute teacher can tell he's filling in for real asshole,0.0
simone biles pulls the perfect face when bob costas says she just became famous,0.0
montana dems nominate a banjo player for special election -- and he might actually win,0.0
wedding experts say engagement ring should cost at least three diamond miners' lives,0.0
new study finds humans may have some capacity for compassion,0.0
congress confused by $500 million in trump's budget allocated for 'laser stuff',0.0
area throat-clearer to go see movie,0.0
"bumgarner perfect, giants one win away",0.0
pope francis prays at jerusalem's western wall,0.0
mike pence training for vice presidential debate by hitting punching bag with climate change study taped on front,0.0
wendy's new homestyle chicken strips salad shamelessly touted,0.0
modest isis leader credits promotion entirely to drone strikes,0.0
the outfit that got this woman kicked out of her school's gym,0.0
u.s. ethics chief ordered gushing responses to trump's tweets,0.0
neighbors' wi-fi password must be something good,0.0
experts caution new car loses 90% of value as soon as you drive it off cliff,0.0
here's what 'all my life' singers k-ci & jojo look like now,0.0
report: north korea just enjoys nuclear talks,0.0
democrats celebrate doug jones' stunning victory,0.0
goldfish teetering on edge of sanity,0.0
internet enjoys sarah sanders' claim that trump is 'the best negotiator at the table',0.0
nearly one million affected by flooding in myanmar,0.0
your backyard burgers are bursting with gross bacteria,0.0
whale expert measures everything in elephants,0.0
rachel roy reveals her best beauty secrets to into the gloss,0.0
not one woman less: protesting femicide in buenos aires,0.0
'family' pundit makes bizarre and offensive link between robin williams' death and 'ex-gay' therapy,0.0
"dad recounts amazing story of how, through quick thinking, he saved $4.27",0.0
7 lies about lgbt musicians we need to stop telling immediately,0.0
boy scouts celebrate proud history of preparing teens for not having cool friends,0.0
trump celebrates national parks â€” after proposing to slash their funding,0.0
hypochondriac maple tree always convinced it has asian longhorn beetles,0.0
trump and china risk sparking dangerous middle east arms race,0.0
local welder suffering from welder's block,0.0
wedding album off to bizarre start with photo of 2 acorns floating in glass of water,0.0
americans say 2-to-1 that we never should have invaded iraq,0.0
plan to live in storage facility voiced,0.0
report: getting massages at airports apparently part of certain people's lives,0.0
rival dojo in for big surprise at regionals,0.0
postal service: 'and wait until you cocksuckers see what we do with wednesdays',0.0
surviving and thriving through adversity: a transgender bathroom and hiv love story,0.0
baby fox who was supposed to die finds man who believes in her,0.0
does policing summons warrants really prevent serious crime?,0.0
that's what host of 'showtime at the apollo' talking about,0.0
woman starting to worry she just has type of face where makeup looks insane,0.0
what's half of $33.35?,0.0
21 useful white elephant gifts under $20,0.0
two hipsters angrily call each other 'hipster',0.0
warpaint's theresa wayman on the band's 'vivid' new album and inevitably questioning her career,0.0
gleeful kate mckinnon unleashes her inner robert mueller on 'snl',0.0
new law to forgive student debt for college graduates once all their dreams shattered,0.0
man angry at self after not recognizing actress in eyelash commercial,0.0
"court summons comes with 1,025 free hours of aol",0.0
a millennial dad's tech divide,
